270.00000	0
280.00000	0.00341
290.00000	0.00955
300.00000	0.04397
310.00000	0.12224
320.00000	0.20220
330.00000	0.25633
340.00000	0.28621
350.00000	0.30071
360.00000	0.31081
370.00000	0.30876
380.00000	0.30748
390.00000	0.30843
400.00000	0.30273
410.00000	0.29070
420.00000	0.28041
430.00000	0.26431
440.00000	0.25164
450.00000	0.23893
460.00000	0.21902
470.00000	0.19790
480.00000	0.18105
490.00000	0.16625
500.00000	0.15631
510.00000	0.14330
520.00000	0.11440
530.00000	0.08245
540.00000	0.06259
550.00000	0.04844
560.00000	0.03797
570.00000	0.03021
580.00000	0.02287
590.00000	0.01558
600.00000	0.01030
610.00000	0.00708
620.00000	0.00343
630.00000	0.00267
640.00000	0.00076
650.00000	0
660.00000	0
670.00000	0
680.00000	0
690.00000	0
700.00000	0
